1;01:38:55;03:06:45;05:08:13;07:21:38;08:57;
2;01:44:39;03:14:57;05:20:05;07:41:36;09:20;
3;01:43:09;03:11:50;05:16:30;07:39:06;09:20;
4;01:44:29;03:16:02;05:29:16;07:45:08;09:23;
5;01:41:13;03:11:32;05:20:21;07:44:22;09:23;
6;01:44:22;03:12:50;05:16:48;07:38:08;09:29;
7;01:47:26;03:17:47;05:29:31;07:54:33;09:41;
8;01:49:37;03:20:58;05:31:13;07:53:58;09:42;
9;01:45:43;03:19:50;05:30:29;07:59:24;10:05;
10;01:57:02;03:33:54;05:47:17;08:18:34;10:09;
11;01:50:17;03:31:59;05:50:22;08:30:32;10:09;
12;01:48:08;03:22:44;05:35:09;08:13:45;10:10;
13;01:45:00;03:19:51;05:31:54;07:57:52;10:13;
14;01:52:20;03:29:46;05:50:23;08:31:13;10:23;
15;01:53:18;03:28:33;05:48:57;08:41:06;10:39;
16;01:48:01;03:28:38;06:04:37;08:49:51;10:40;
17;02:04:31;03:46:59;06:18:53;08:57:44;10:43;
18;01:55:18;03:32:20;06:03:03;08:52:49;10:49;
19;01:54:04;03:39:20;06:09:39;09:03:55;11:11;
20;01:58:26;03:43:11;06:14:33;09:07:50;11:13;
21;01:53:21;03:38:31;06:09:51;09:04:27;11:15;
22;01:47:38;03:26:00;06:00:49;09:05:10;11:15;
23;01:54:55;03:41:43;06:13:35;09:09:21;11:17;
24;01:54:00;03:36:41;06:12:35;09:05:14;11:18;
25;02:04:18;03:53:22;06:31:17;09:23:28;11:19;
26;02:01:42;03:52:21;06:32:21;09:20:34;11:22;
27;01:59:51;03:46:42;06:19:05;09:13:06;11:25;
28;01:49:15;03:26:46;05:53:31;08:58:49;11:27;
29;01:59:53;03:46:21;06:18:57;09:11:23;11:28;
30;02:01:40;03:49:05;06:27:59;09:27:08;11:29;
31;01:59:14;03:47:46;06:28:14;09:33:25;11:33;
32;02:11:08;03:57:06;06:26:54;09:25:54;11:35;
33;01:48:13;03:26:43;06:10:49;09:21:10;11:35;
34;02:17:07;04:07:55;06:50:59;09:42:10;11:38;
35;01:55:24;03:53:44;06:26:41;09:14:13;11:38;
36;02:11:03;03:59:11;06:40:01;09:40:57;11:39;
37;01:51:09;03:33:52;06:15:38;09:35:04;11:44;
38;02:01:38;03:47:47;06:29:31;09:38:05;11:44;
39;01:55:09;03:41:20;06:21:41;09:26:57;11:45;
40;01:56:41;03:42:52;06:20:22;09:24:04;11:46;
41;01:53:23;03:37:34;06:21:29;09:30:52;11:48;
42;02:00:05;03:45:59;06:30:45;09:37:37;11:48;
43;02:06:16;03:54:48;06:39:24;09:38:06;11:49;
44;02:01:32;03:46:24;06:27:53;09:34:30;11:49;
45;02:00:58;03:50:28;06:32:40;09:36:16;11:51;
46;01:57:12;03:43:18;06:23:56;09:33:44;11:53;
47;01:52:39;03:42:53;06:29:32;09:39:27;11:53;
48;02:21:26;04:16:12;06:51:38;09:47:47;11:56;
49;02:08:08;03:55:34;06:41:08;09:54:41;11:59;
50;01:56:51;03:41:51;06:25:40;09:36:44;11:59;
51;01:50:50;03:33:03;06:23:40;09:39:03;12:00;
52;02:12:26;04:04:12;06:48:20;09:54:09;12:02;
53;02:07:31;03:53:27;06:42:08;09:45:29;12:02;
54;01:57:31;03:47:43;06:39:56;10:01:42;12:07;
55;02:05:23;03:52:44;06:35:25;09:47:04;12:07;
56;02:09:42;04:01:59;06:52:33;09:59:24;12:10;
57;02:02:11;03:45:23;06:22:24;09:36:15;12:11;
58;02:05:08;03:55:29;06:47:11;10:06:39;12:11;
59;01:50:19;03:32:01;06:14:35;09:26:16;12:12;
60;02:15:27;03:59:33;06:41:49;09:33:57;12:13;
61;02:12:09;03:59:37;06:42:40;09:52:22;12:13;
62;02:05:10;03:50:40;06:33:29;09:47:15;12:14;
63;02:03:41;03:54:44;06:36:51;09:50:20;12:16;
64;02:05:07;03:57:46;06:38:41;09:57:08;12:17;
65;01:52:56;03:36:15;06:19:23;09:43:33;12:19;
66;02:12:14;04:04:44;06:49:57;09:59:31;12:20;
67;02:09:11;04:07:19;06:56:11;10:13:04;12:20;
68;02:14:30;04:09:20;06:53:32;10:00:51;12:21;
69;02:13:26;03:59:35;06:47:30;10:05:57;12:21;
70;02:27:05;04:21:16;07:58:06;10:31:29;12:21;
70;02:04:30;03:57:04;06:52:05;10:11:40;12:21;
72;02:08:31;03:59:46;06:46:21;10:06:29;12:23;
73;02:07:04;03:59:18;06:56:35;10:15:22;12:23;
74;02:17:51;04:20:05;07:15:12;10:23:42;12:23;
75;02:15:23;04:14:02;06:52:11;10:11:12;12:24;
76;02:06:21;03:57:42;06:45:11;10:08:31;12:24;
77;01:53:10;03:33:31;06:05:43;08:52:09;12:24;
78;02:03:12;04:01:46;07:04:09;10:14:22;12:26;
79;01:57:26;03:49:14;06:51:31;10:22:24;12:27;
80;02:12:23;04:06:19;06:47:41;09:59:22;12:27;
81;01:52:14;03:36:07;06:30:43;10:09:43;12:28;
82;02:02:30;03:53:36;06:39:31;09:53:58;12:29;
83;02:05:11;03:54:47;06:49:52;10:02:51;12:29;
84;02:05:04;04:02:03;06:57:47;10:04:58;12:29;
85;01:48:54;03:34:02;06:35:43;10:08:07;12:31;
86;01:59:58;03:49:41;06:47:15;10:19:49;12:35;
87;02:03:21;03:52:03;06:44:05;10:12:28;12:36;
88;02:00:52;03:53:29;06:52:29;10:15:12;12:37;
89;02:09:22;04:03:29;06:56:20;10:14:25;12:42;
90;02:14:02;04:10:35;07:06:19;10:16:11;12:43;
91;02:15:40;04:09:47;07:02:52;10:27:46;12:43;
92;02:09:41;04:12:24;07:09:11;10:35:37;12:43;
93;02:14:58;04:00:21;06:57:02;10:22:29;12:44;
94;02:14:44;04:12:38;07:05:54;10:27:12;12:48;
95;02:14:00;04:02:42;06:57:06;10:29:43;12:50;
96;02:17:04;04:14:03;07:06:15;10:26:17;12:51;
97;02:06:19;03:57:06;07:00:33;10:26:21;12:51;
98;02:35:12;04:35:04;07:30:07;10:43:27;12:52;
99;02:06:59;04:00:18;07:02:15;10:26:19;12:53;
100;02:29:08;04:33:46;07:29:32;10:49:23;12:54;
101;02:07:19;04:05:14;07:13:50;10:38:00;12:55;
102;02:01:06;03:51:42;06:54:47;10:31:35;12:55;
103;01:57:54;03:51:40;06:54:16;10:24:59;12:55;
104;02:04:10;03:54:12;06:38:51;10:11:40;12:56;
105;02:15:10;04:10:08;07:20:48;10:37:12;12:57;
106;02:09:09;03:59:09;06:59:58;10:22:46;12:57;
107;02:18:50;04:16:14;07:23:01;10:40:08;12:57;
108;02:20:49;04:16:53;07:11:17;10:40:01;12:57;
109;02:03:00;04:03:19;07:01:28;10:31:44;12:58;
110;02:28:06;04:20:05;07:13:20;10:35:39;13:00;
111;02:06:32;03:59:32;06:59:24;10:28:51;13:08;
112;02:10:32;04:07:03;07:04:36;10:27:37;13:08;
113;02:15:29;04:14:29;07:27:41;10:46:53;13:08;
114;02:21:56;04:22:35;07:20:13;10:47:26;13:08;
