M-ce;10km;22km;33km;Cz. netto;Cz. brutto;min/km;km/h
74;01:22:37;02:50:08;04:22:44;05:54:49.650;05:55:13.900;07:53;7.6
75;01:25:32;02:59:46;04:30:31;05:55:55.800;05:56:17.100;07:54;7.6
76;01:27:17;03:01:44;04:33:40;05:58:30.450;05:58:54.850;07:58;7.5
77;01:20:28;02:48:13;04:27:50;05:58:37.250;05:58:59.250;07:58;7.5
78;01:20:47;02:51:28;04:27:55;05:58:55.450;05:59:00.450;07:58;7.5
79;01:16:16;02:47:24;04:24:36;05:59:04.700;05:59:16.850;07:58;7.5
80;01:26:10;02:57:26;04:29:53;05:58:58.850;05:59:18.700;07:58;7.5
81;01:20:48;02:50:20;04:28:06;06:00:10.700;06:00:20.200;08:00;7.5
82;01:23:53;02:54:57;04:29:44;05:59:48.900;06:00:27.050;07:59;7.5
83;01:23:54;02:55:21;04:30:13;05:59:49.150;06:00:27.600;07:59;7.5
84;01:23:25;02:48:13;04:29:02;06:03:21.550;06:03:47.750;08:04;7.4
85;01:28:24;03:00:03;04:34:53;06:04:58.800;06:05:19.700;08:06;7.4
86;01:20:34;02:51:18;04:29:18;06:06:05.950;06:06:07.200;08:08;7.4
87;01:13:42;02:38:16;04:26:22;06:05:55.050;06:06:13.900;08:07;7.4
88;01:13:29;02:40:56;04:27:25;06:05:36.150;06:06:14.000;08:07;7.4
89;01:17:06;02:47:54;04:32:07;06:05:52.600;06:06:24.700;08:07;7.4
90;01:21:20;02:54:25;04:33:36;06:06:29.950;06:06:37.850;08:08;7.4
91;01:14:33;02:40:54;04:25:06;06:07:28.250;06:07:37.150;08:09;7.3
92;01:28:17;03:04:49;04:42:49;06:07:11.100;06:07:37.900;08:09;7.4
93;01:27:20;03:00:35;04:38:39;06:07:29.100;06:07:51.350;08:09;7.3
94;01:20:43;02:54:25;04:35:42;06:08:03.150;06:08:16.100;08:10;7.3
95;01:07:03;02:28:04;04:09:40;06:08:43.700;06:08:46.200;08:11;7.3
96;01:24:17;03:01:48;04:39:12;06:08:40.150;06:08:52.300;08:11;7.3
97;01:10:57;02:40:11;04:25:19;06:09:38.900;06:09:44.300;08:12;7.3
98;01:29:22;03:01:12;04:32:29;06:07:52.800;06:09:47.200;08:10;7.3
99;01:22:03;02:59:38;04:38:24;06:10:40.500;06:10:43.250;08:14;7.3
100;01:32:27;03:06:57;04:39:35;06:11:18.100;06:11:52.850;08:15;7.3
101;01:20:41;02:54:17;04:35:24;06:12:10.450;06:12:12.200;08:16;7.3
102;01:25:34;03:03:31;04:44:21;06:12:11.250;06:12:19.800;08:16;7.3
103;01:29:44;02:58:58;04:35:28;06:12:12.900;06:12:45.100;08:16;7.3
104;01:14:59;02:42:49;04:34:04;06:13:00.550;06:13:10.850;08:17;7.2
