M-ce;12km;26km;37.8km;Cz. netto;Cz. brutto;min/km;km/h;;;;;;;;;
258;01:11:27;03:07:57;05:12:14;07:32:25.900;07:32:54.900;08:42;6.9;;;;;;;;;
259;01:12:04;03:12:16;05:11:05;07:33:04.750;07:33:36.800;08:42;6.9;;;;;;;;;
260;01:17:03;03:20:38;05:12:27;07:33:31.500;07:33:43.350;08:43;6.9;;;;;;;;;
261;01:15:56;03:15:46;05:19:05;07:33:30.650;07:34:06.400;08:43;6.9;;;;;;;;;
262;01:16:18;03:23:04;05:22:23;07:34:13.500;07:34:36.750;08:44;6.9;;;;;;;;;
263;01:16:20;03:23:44;05:21:34;07:34:57.150;07:35:26.700;08:44;6.9;;;;;;;;;
264;01:16:21;03:23:47;05:21:38;07:35:10.150;07:35:40.000;08:45;6.9;;;;;;;;;
265;01:15:17;03:13:14;05:16:11;07:35:55.600;07:36:35.450;08:46;6.8;;;;;;;;;
266;01:15:17;03:13:14;05:16:11;07:35:56.050;07:36:35.500;08:46;6.8;;;;;;;;;
267;01:12:42;03:19:14;05:16:39;07:36:18.250;07:36:57.450;08:46;6.8;;;;;;;;;
268;01:11:59;03:15:59;05:12:18;07:36:41.100;07:36:57.950;08:46;6.8;;;;;;;;;
269;01:11:40;03:15:49;05:12:37;07:36:41.650;07:36:58.250;08:46;6.8;;;;;;;;;
270;01:17:58;03:26:40;05:17:53;07:36:31.400;07:37:06.200;08:46;6.8;;;;;;;;;
271;01:07:20;02:53:16;04:59:17;07:37:08.950;07:37:19.750;08:47;6.8;;;;;;;;;
272;01:07:19;03:01:10;05:02:41;07:37:08.950;07:37:19.950;08:47;6.8;;;;;;;;;
273;01:15:21;03:19:24;05:21:41;07:37:13.700;07:37:22.400;08:47;6.8;;;;;;;;;
274;01:11:03;03:16:26;05:17:52;07:36:52.300;07:37:24.550;08:47;6.8;;;;;;;;;
275;01:11:03;03:16:24;05:17:49;07:36:52.650;07:37:24.650;08:47;6.8;;;;;;;;;
276;01:12:08;03:14:13;05:14:08;07:37:24.150;07:37:42.750;08:47;6.8;;;;;;;;;
277;01:11:36;03:11:21;05:15:50;07:37:23.850;07:38:06.650;08:47;6.8;;;;;;;;;
278;01:11:40;03:08:01;05:17:42;07:38:03.550;07:38:11.450;08:48;6.8;;;;;;;;;
279;01:04:12;02:59:44;05:07:58;07:39:00.650;07:39:30.400;08:49;6.8;;;;;;;;;
280;01:15:13;03:19:56;05:22:05;07:39:30.700;07:39:30.700;08:50;6.8;;;;;;;;;
281;01:10:37;03:15:13;05:13:35;07:39:26.900;07:39:42.700;08:50;6.8;;;;;;;;;
282;01:11:44;03:19:03;05:19:23;07:39:26.250;07:39:42.700;08:50;6.8;;;;;;;;;
283;01:10:37;03:15:13;05:13:36;07:39:27.300;07:39:42.850;08:50;6.8;;;;;;;;;
284;01:11:45;03:19:03;05:19:24;07:39:27.000;07:39:42.850;08:50;6.8;;;;;;;;;
285;01:06:41;03:02:12;05:04:13;07:39:29.350;07:39:49.950;08:50;6.8;;;;;;;;;
286;01:23:58;03:29:51;05:24:06;07:39:34.050;07:40:12.150;08:50;6.8;;;;;;;;;
287;01:15:36;03:20:27;05:17:40;07:40:13.250;07:40:20.600;08:51;6.8;;;;;;;;;
288;01:18:03;03:25:51;05:25:32;07:40:01.500;07:40:28.450;08:50;6.8;;;;;;;;;
289;01:10:32;03:13:04;05:17:30;07:39:01.300;07:40:31.100;08:49;6.8;;;;;;;;;
290;01:17:45;03:21:56;05:15:00;07:40:23.350;07:40:39.050;08:51;6.8;;;;;;;;;
291;01:12:42;03:19:13;05:16:39;07:40:13.150;07:40:52.500;08:51;6.8;;;;;;;;;
292;01:16:36;03:16:37;05:16:44;07:40:19.950;07:41:05.700;08:51;6.8;;;;;;;;;
293;01:10:56;03:14:14;05:16:51;07:40:54.700;07:41:08.900;08:51;6.8;;;;;;;;;
294;01:11:11;03:11:35;05:12:37;07:40:34.850;07:41:09.400;08:51;6.8;;;;;;;;;
295;01:11:08;03:09:56;05:18:58;07:41:10.900;07:41:13.500;08:52;6.8;;;;;;;;;
296;01:15:01;03:17:02;05:17:12;07:41:30.800;07:42:07.100;08:52;6.8;;;;;;;;;
297;01:07:09;03:10:08;05:18:44;07:41:31.850;07:42:07.150;08:52;6.8;;;;;;;;;
298;01:09:58;03:07:30;05:11:20;07:41:31.500;07:42:07.350;08:52;6.8;;;;;;;;;
299;01:09:23;03:06:49;05:14:10;07:42:12.950;07:42:12.950;08:53;6.8;;;;;;;;;
300;01:15:08;03:20:47;05:24:18;07:42:31.800;07:42:56.700;08:53;6.7;;;;;;;;;
301;01:12:32;03:21:10;05:25:31;07:43:11.500;07:43:14.650;08:54;6.7;;;;;;;;;
302;01:04:26;02:57:10;04:54:07;07:43:39.700;07:43:56.700;08:54;6.7;;;;;;;;;
303;01:13:36;03:23:57;05:29:22;07:43:58.350;07:44:33.450;08:55;6.7;;;;;;;;;
304;01:11:53;03:17:32;05:21:04;07:44:00.700;07:44:38.950;08:55;6.7;;;;;;;;;
305;01:11:53;03:17:39;05:21:10;07:44:00.850;07:44:39.400;08:55;6.7;;;;;;;;;
306;01:23:02;03:35:46;05:33:54;07:44:32.950;07:44:53.100;08:56;6.7;;;;;;;;;
307;01:09:40;03:11:57;05:13:24;07:44:58.500;07:45:05.300;08:56;6.7;;;;;;;;;
308;01:11:44;03:20:28;05:39:48;07:46:34.150;07:46:49.250;08:58;6.7;;;;;;;;;
309;01:12:47;03:16:47;05:12:12;07:46:40.600;07:47:14.100;08:58;6.7;;;;;;;;;
310;01:24:21;03:35:51;05:34:26;07:47:09.600;07:47:55.350;08:59;6.7;;;;;;;;;
311;01:11:20;03:12:27;05:21:33;07:48:27.350;07:48:50.050;09:00;6.7;;;;;;;;;
312;01:11:16;03:16:22;05:25:48;07:48:24.650;07:48:50.700;09:00;6.7;;;;;;;;;
313;01:12:56;03:20:31;05:21:15;07:49:04.000;07:49:26.650;09:01;6.7;;;;;;;;;
314;01:15:18;03:23:02;05:25:39;07:49:16.050;07:49:37.900;09:01;6.6;;;;;;;;;
315;01:18:19;03:25:48;05:27:22;07:49:57.500;07:50:24.300;09:02;6.6;;;;;;;;;
316;01:18:18;03:25:47;05:27:21;07:49:57.450;07:50:24.600;09:02;6.6;;;;;;;;;
317;01:21:37;03:27:15;05:33:01;07:49:59.600;07:50:26.200;09:02;6.6;;;;;;;;;
318;01:21:37;03:29:21;05:25:49;07:50:07.450;07:50:32.850;09:02;6.6;;;;;;;;;
319;01:10:57;03:13:15;05:20:30;07:50:05.500;07:50:38.300;09:02;6.6;;;;;;;;;
320;01:14:52;03:22:28;05:29:31;07:51:01.150;07:51:41.300;09:03;6.6;;;;;;;;;
321;01:15:02;03:24:04;05:26:46;07:51:12.450;07:51:49.600;09:03;6.6;;;;;;;;;
322;01:10:59;03:13:45;05:29:42;07:52:17.250;07:52:32.050;09:04;6.6;;;;;;;;;
323;01:09:36;03:09:16;05:14:55;07:52:55.300;07:53:39.050;09:05;6.6;;;;;;;;;
324;01:11:21;03:14:04;05:20:43;07:53:03.950;07:53:39.300;09:05;6.6;;;;;;;;;
325;01:08:55;03:10:32;05:24:41;07:54:43.400;07:55:03.800;09:07;6.6;;;;;;;;;
326;01:18:56;03:27:36;05:27:55;07:54:12.350;07:55:52.500;09:07;6.6;;;;;;;;;
327;01:18:57;03:27:38;05:27:57;07:54:14.600;07:55:52.900;09:07;6.6;;;;;;;;;
328;01:13:46;03:20:10;05:28:23;07:55:24.950;07:55:58.850;09:08;6.6;;;;;;;;;
329;01:08:16;03:07:43;05:12:04;07:55:58.800;07:56:36.750;09:09;6.6;;;;;;;;;
330;01:20:09;03:35:29;05:39:53;07:56:49.950;07:57:13.750;09:10;6.5;;;;;;;;;
331;01:29:38;03:40:30;05:36:54;07:56:31.750;07:57:16.350;09:09;6.5;;;;;;;;;
332;01:08:40;03:16:39;05:22:59;07:56:47.000;07:57:29.600;09:10;6.5;;;;;;;;;
333;01:18:39;03:37:12;05:37:59;07:57:17.450;07:57:40.100;09:10;6.5;;;;;;;;;
334;01:19:34;03:32:18;05:32:27;07:57:10.950;07:57:45.100;09:10;6.5;;;;;;;;;
335;01:19:33;03:32:19;05:32:26;07:57:10.300;07:57:45.350;09:10;6.5;;;;;;;;;
336;01:15:07;03:23:06;05:33:08;07:57:04.200;07:57:47.650;09:10;6.5;;;;;;;;;
337;01:23:33;03:34:18;05:41:39;07:58:08.700;07:58:13.800;09:11;6.5;;;;;;;;;
338;01:17:28;03:36:13;05:37:42;07:57:54.500;07:58:26.400;09:11;6.5;;;;;;;;;
339;01:17:28;03:36:13;05:37:43;07:57:54.600;07:58:26.400;09:11;6.5;;;;;;;;;
340;01:21:14;03:36:13;05:43:25;07:58:25.750;07:58:55.950;09:12;6.5;;;;;;;;;
341;01:16:04;03:28:43;05:38:11;07:58:59.000;07:59:16.450;09:12;6.5;;;;;;;;;
342;01:15:07;03:23:06;05:33:07;07:58:56.300;07:59:39.450;09:12;6.5;;;;;;;;;
343;01:13:06;03:21:47;05:29:34;07:59:34.700;07:59:47.000;09:13;6.5;;;;;;;;;
344;01:15:05;03:31:32;05:39:07;07:59:14.300;07:59:58.300;09:12;6.5;;;;;;;;;
345;01:26:38;03:41:01;05:41:36;08:00:00.600;08:00:44.850;09:13;6.5;;;;;;;;;
346;01:26:07;03:44:08;05:52:18;08:00:22.050;08:00:47.250;09:14;6.5;;;;;;;;;
347;01:26:13;03:44:04;05:52:14;08:00:17.600;08:00:47.350;09:14;6.5;;;;;;;;;
348;01:23:15;03:39:09;05:42:24;08:00:11.700;08:00:53.000;09:14;6.5;;;;;;;;;
349;01:23:14;03:39:11;05:42:25;08:00:12.450;08:00:53.200;09:14;6.5;;;;;;;;;
350;01:12:21;03:19:53;05:33:53;08:00:36.150;08:00:56.150;09:14;6.5;;;;;;;;;
351;01:12:53;03:20:45;05:30:57;08:02:51.400;08:03:06.100;09:17;6.5;;;;;;;;;
352;01:14:39;03:25:38;05:33:30;08:03:21.200;08:03:29.300;09:17;6.5;;;;;;;;;
353;01:14:41;03:25:49;05:33:31;08:03:21.400;08:03:29.300;09:17;6.5;;;;;;;;;
354;01:17:01;03:31:15;05:37:28;08:03:55.000;08:04:01.600;09:18;6.4;;;;;;;;;
355;01:15:15;03:28:50;05:34:00;08:04:11.150;08:04:44.500;09:18;6.4;;;;;;;;;
356;01:16:22;03:26:05;05:37:53;08:05:22.250;08:05:35.350;09:20;6.4;;;;;;;;;
357;01:16:58;03:16:09;05:25:41;08:05:49.750;08:06:10.250;09:20;6.4;;;;;;;;;
358;01:09:17;03:26:44;05:39:40;08:06:23.000;08:06:29.900;09:21;6.4;;;;;;;;;
359;01:11:51;03:15:07;05:26:37;08:06:45.300;08:06:53.400;09:21;6.4;;;;;;;;;
360;01:11:42;03:18:30;05:29:29;08:06:44.500;08:06:56.100;09:21;6.4;;;;;;;;;
361;01:10:04;03:21:28;05:31:53;08:06:37.050;08:06:59.500;09:21;6.4;;;;;;;;;
362;01:15:48;03:28:57;05:36:38;08:06:42.700;08:07:18.100;09:21;6.4;;;;;;;;;
363;01:17:24;03:33:30;05:40:50;08:07:08.350;08:07:27.150;09:22;6.4;;;;;;;;;
364;01:16:34;03:28:31;05:40:37;08:06:59.000;08:07:28.900;09:21;6.4;;;;;;;;;
365;01:15:52;03:29:16;05:38:32;08:07:36.850;08:07:54.100;09:22;6.4;;;;;;;;;
366;01:11:26;03:20:29;05:39:47;08:08:15.250;08:08:30.550;09:23;6.4;;;;;;;;;
367;01:18:22;03:26:42;05:35:48;08:07:57.850;08:08:30.750;09:23;6.4;;;;;;;;;
368;01:18:23;03:26:42;05:35:49;08:07:58.450;08:08:30.850;09:23;6.4;;;;;;;;;
369;01:16:08;03:16:02;05:13:51;08:08:27.100;08:08:43.100;09:23;6.4;;;;;;;;;
370;01:14:20;03:26:32;05:35:47;08:08:27.400;08:08:46.000;09:23;6.4;;;;;;;;;
371;01:10:31;03:23:38;05:35:30;08:08:48.000;08:09:10.350;09:24;6.4;;;;;;;;;
372;01:27:32;03:44:14;05:48:51;08:09:18.850;08:09:32.850;09:24;6.4;;;;;;;;;
373;01:18:52;03:43:33;05:45:12;08:09:14.350;08:09:54.800;09:24;6.4;;;;;;;;;
374;01:15:23;03:24:51;05:39:54;08:09:29.600;08:09:57.950;09:24;6.4;;;;;;;;;
375;01:15:24;03:24:50;05:39:56;08:09:30.250;08:09:58.200;09:24;6.4;;;;;;;;;
376;01:12:01;03:33:22;05:39:31;08:09:40.800;08:10:03.250;09:25;6.4;;;;;;;;;
377;01:15:32;03:27:35;05:36:47;08:09:36.050;08:10:14.650;09:24;6.4;;;;;;;;;
378;01:21:22;03:45:33;05:41:49;08:09:41.250;08:10:26.750;09:25;6.4;;;;;;;;;
379;01:12:20;03:17:22;05:31:03;08:10:35.950;08:10:51.250;09:26;6.4;;;;;;;;;
380;01:12:20;03:17:18;05:31:05;08:10:36.000;08:10:51.400;09:26;6.4;;;;;;;;;
381;01:15:48;03:29:17;05:38:32;08:11:17.950;08:11:35.400;09:26;6.4;;;;;;;;;
382;01:14:48;03:16:31;05:28:25;08:11:59.100;08:12:11.400;09:27;6.3;;;;;;;;;
383;01:15:35;03:22:19;05:44:03;08:12:36.250;08:12:41.100;09:28;6.3;;;;;;;;;
384;01:15:26;03:25:08;05:37:10;08:12:17.600;08:12:45.750;09:28;6.3;;;;;;;;;
385;01:21:14;03:36:13;05:43:25;08:13:22.250;08:13:52.300;09:29;6.3;;;;;;;;;
386;01:13:27;03:34:02;05:48:07;08:14:09.600;08:14:35.600;09:30;6.3;;;;;;;;;
387;01:17:49;03:40:00;05:48:00;08:14:38.900;08:14:48.000;09:30;6.3;;;;;;;;;
388;01:15:51;03:24:32;05:31:15;08:14:36.000;08:14:57.700;09:30;6.3;;;;;;;;;
389;01:13:31;03:32:54;05:48:32;08:14:22.150;08:14:59.600;09:30;6.3;;;;;;;;;
390;01:24:36;03:41:42;05:45:35;08:15:18.300;08:15:40.400;09:31;6.3;;;;;;;;;
391;01:09:33;03:20:23;05:32:01;08:15:59.200;08:16:02.950;09:32;6.3;;;;;;;;;
392;01:09:32;03:20:22;05:32:01;08:15:59.100;08:16:03.200;09:32;6.3;;;;;;;;;
393;01:15:26;03:25:08;05:37:13;08:15:57.550;08:16:25.400;09:32;6.3;;;;;;;;;
394;01:11:20;03:31:18;05:44:14;08:17:15.950;08:17:18.750;09:33;6.3;;;;;;;;;
395;01:20:19;03:25:37;05:38:21;08:16:56.750;08:17:20.100;09:33;6.3;;;;;;;;;
396;01:14:52;03:24:46;05:35:06;08:16:45.050;08:17:26.900;09:33;6.3;;;;;;;;;
397;01:14:25;03:24:01;05:42:26;08:17:08.250;08:17:29.650;09:33;6.3;;;;;;;;;
398;01:14:03;03:28:22;05:39:50;08:17:20.750;08:17:35.700;09:33;6.3;;;;;;;;;
399;01:14:54;03:32:55;05:48:36;08:17:01.450;08:17:37.600;09:33;6.3;;;;;;;;;
400;01:21:34;03:45:58;05:44:18;08:16:53.400;08:17:39.300;09:33;6.3;;;;;;;;;
401;01:15:00;03:31:05;05:27:27;08:16:58.950;08:17:40.450;09:33;6.3;;;;;;;;;
402;01:15:00;03:31:05;05:39:00;08:16:59.600;08:17:40.650;09:33;6.3;;;;;;;;;
403;01:14:51;03:32:55;05:48:33;08:17:05.250;08:17:42.800;09:33;6.3;;;;;;;;;
404;01:24:38;03:53:27;05:53:15;08:17:27.450;08:17:52.650;09:33;6.3;;;;;;;;;
405;01:16:41;03:31:54;05:39:20;08:17:41.600;08:18:07.400;09:34;6.3;;;;;;;;;
406;01:24:46;03:46:55;05:49:16;08:18:07.750;08:18:48.150;09:34;6.3;;;;;;;;;
407;01:16:01;03:40:49;05:46:03;08:18:31.500;08:19:04.350;09:35;6.3;;;;;;;;;
408;01:24:48;03:46:56;05:49:13;08:18:43.700;08:19:23.650;09:35;6.3;;;;;;;;;
409;01:15:44;03:28:23;05:40:12;08:20:23.750;08:20:33.450;09:37;6.2;;;;;;;;;
410;01:19:32;03:35:32;05:43:23;08:20:19.000;08:20:44.200;09:37;6.2;;;;;;;;;
411;01:12:18;03:30:28;05:37:01;08:21:21.050;08:21:30.050;09:38;6.2;;;;;;;;;
414;01:15:13;03:27:02;05:41:02;08:21:45.450;08:22:07.150;09:38;6.2;;;;;;;;;
415;01:15:14;03:27:03;05:41:05;08:21:46.000;08:22:07.700;09:38;6.2;;;;;;;;;
416;01:25:08;03:44:08;05:48:35;08:22:33.800;08:23:09.650;09:39;6.2;;;;;;;;;
417;01:12:25;03:27:52;05:40:22;08:23:28.900;08:23:37.550;09:40;6.2;;;;;;;;;
418;01:17:27;03:30:04;05:40:00;08:23:14.050;08:23:40.150;09:40;6.2;;;;;;;;;
419;01:32:22;04:21:33;06:00:30;08:23:21.300;08:23:41.650;09:40;6.2;;;;;;;;;
420;01:20:02;03:41:44;05:49:45;08:23:43.100;08:24:22.250;09:41;6.2;;;;;;;;;
421;01:21:29;03:37:08;05:43:39;08:23:49.750;08:24:31.400;09:41;6.2;;;;;;;;;
422;01:17:54;03:46:05;05:52:44;08:24:20.550;08:24:32.250;09:41;6.2;;;;;;;;;
423;01:17:54;03:46:05;05:52:44;08:24:20.650;08:24:32.600;09:41;6.2;;;;;;;;;
424;01:20:18;03:31:30;05:49:34;08:25:55.000;08:26:18.400;09:43;6.2;;;;;;;;;
425;01:16:30;03:29:56;05:33:47;08:26:24.300;08:26:45.200;09:44;6.2;;;;;;;;;
426;01:17:30;03:31:54;05:40:33;08:26:34.200;08:26:58.300;09:44;6.2;;;;;;;;;
427;01:19:14;03:37:17;05:48:09;08:26:34.250;08:27:00.700;09:44;6.2;;;;;;;;;
428;01:25:41;03:41:36;05:55:23;08:27:03.800;08:27:14.150;09:45;6.2;;;;;;;;;
429;01:16:30;03:40:16;05:49:13;08:29:34.850;08:29:57.000;09:47;6.1;;;;;;;;;
430;01:17:42;03:30:17;05:48:01;08:30:51.250;08:30:59.450;09:49;6.1;;;;;;;;;
431;01:20:51;03:53:02;05:54:13;08:30:23.400;08:31:02.450;09:48;6.1;;;;;;;;;
432;01:17:23;03:37:09;05:46:57;08:31:17.900;08:31:23.900;09:49;6.1;;;;;;;;;
433;01:16:01;03:36:12;05:46:32;08:31:18.700;08:32:00.050;09:49;6.1;;;;;;;;;
434;01:14:54;03:34:48;05:43:37;08:33:00.700;08:33:02.350;09:51;6.1;;;;;;;;;
435;01:15:25;03:31:03;05:51:14;08:33:53.800;08:33:53.800;09:52;6.1;;;;;;;;;
436;01:24:31;03:53:30;05:54:16;08:33:19.400;08:33:54.150;09:52;6.1;;;;;;;;;
437;01:24:30;03:53:28;05:54:12;08:33:19.150;08:33:54.350;09:52;6.1;;;;;;;;;
438;01:15:54;03:37:02;05:53:03;08:34:12.650;08:34:31.200;09:53;6.1;;;;;;;;;
439;01:23:43;03:43:56;05:53:24;08:33:47.850;08:34:34.600;09:52;6.1;;;;;;;;;
440;01:18:50;03:43:11;05:51:22;08:33:59.650;08:34:36.700;09:53;6.1;;;;;;;;;
441;01:17:12;03:42:08;05:54:13;08:34:05.900;08:34:42.700;09:53;6.1;;;;;;;;;
442;01:16:03;03:26:10;05:37:33;08:34:39.750;08:34:44.650;09:53;6.1;;;;;;;;;
443;01:16:25;03:32:14;05:50:57;08:35:10.850;08:35:48.450;09:54;6.1;;;;;;;;;
444;01:21:09;03:39:25;05:54:27;08:35:55.100;08:36:03.700;09:55;6;;;;;;;;;
445;01:18:11;03:36:08;05:50:24;08:36:17.750;08:36:44.200;09:55;6;;;;;;;;;
446;01:17:37;03:42:30;05:54:18;08:36:33.150;08:36:47.450;09:56;6;;;;;;;;;
447;01:17:35;03:42:30;05:54:36;08:36:33.350;08:36:47.450;09:56;6;;;;;;;;;
448;01:16:09;03:35:52;05:50:18;08:37:34.450;08:37:52.200;09:57;6;;;;;;;;;
449;01:12:38;03:32:50;05:51:44;08:38:04.650;08:38:08.700;09:57;6;;;;;;;;;
450;01:25:52;03:48:12;05:57:52;08:38:20.300;08:38:37.850;09:58;6;;;;;;;;;
451;01:18:15;03:38:32;05:53:24;08:38:38.850;08:38:50.850;09:58;6;;;;;;;;;
452;01:19:39;03:41:13;05:49:35;08:38:36.650;08:39:13.150;09:58;6;;;;;;;;;
453;01:19:24;03:42:29;06:01:53;08:39:28.750;08:39:48.900;09:59;6;;;;;;;;;
454;01:17:09;03:32:52;05:50:25;08:41:15.900;08:41:37.500;10:01;6;;;;;;;;;
455;01:24:40;03:46:04;05:54:26;08:41:20.150;08:42:04.800;10:01;6;;;;;;;;;
456;01:22:13;03:50:32;05:56:17;08:41:34.150;08:42:11.250;10:01;6;;;;;;;;;
457;01:10:09;03:23:55;05:51:09;08:41:43.750;08:42:19.050;10:02;6;;;;;;;;;
458;01:25:54;03:49:16;05:56:51;08:43:01.900;08:43:19.350;10:03;6;;;;;;;;;
459;01:17:50;03:44:17;05:54:54;08:43:33.450;08:43:52.000;10:04;6;;;;;;;;;
460;01:15:37;03:35:53;05:52:33;08:43:50.000;08:43:57.700;10:04;6;;;;;;;;;
461;01:25:08;03:44:08;05:51:56;08:43:22.700;08:43:58.750;10:03;6;;;;;;;;;
462;01:17:17;03:33:39;05:49:06;08:43:31.050;08:44:07.800;10:04;6;;;;;;;;;
463;01:22:11;03:56:44;06:04:54;08:43:45.100;08:44:09.500;10:04;6;;;;;;;;;
464;01:21:49;03:39:31;05:52:08;08:45:15.150;08:45:44.950;10:06;5.9;;;;;;;;;
465;01:20:27;03:41:27;05:54:07;08:46:02.650;08:46:39.850;10:06;5.9;;;;;;;;;
466;01:18:56;03:32:40;05:48:54;08:47:35.450;08:48:00.800;10:08;5.9;;;;;;;;;
467;01:23:05;03:42:56;05:53:37;08:47:20.600;08:48:00.800;10:08;5.9;;;;;;;;;
468;01:20:02;03:48:20;05:55:29;08:49:22.200;08:49:56.750;10:10;5.9;;;;;;;;;
469;01:24:10;03:50:47;05:59:35;08:50:35.300;08:51:03.900;10:12;5.9;;;;;;;;;
470;01:15:42;03:37:39;05:51:08;08:52:13.750;08:52:35.450;10:14;5.9;;;;;;;;;
471;01:21:56;03:52:53;06:11:21;08:53:15.250;08:53:18.800;10:15;5.9;;;;;;;;;
472;01:16:50;03:31:55;05:55:36;08:52:50.450;08:53:21.300;10:14;5.9;;;;;;;;;
473;01:29:11;04:02:05;06:05:15;08:53:00.500;08:53:26.150;10:15;5.9;;;;;;;;;
474;01:20:04;03:37:52;05:55:52;08:53:26.500;08:54:02.350;10:15;5.8;;;;;;;;;
475;01:19:26;03:42:48;05:54:56;08:53:57.250;08:54:19.900;10:16;5.8;;;;;;;;;
476;01:19:26;03:42:48;05:54:44;08:53:57.300;08:54:20.000;10:16;5.8;;;;;;;;;
477;01:29:46;04:00:47;06:13:46;08:53:44.400;08:54:26.400;10:15;5.8;;;;;;;;;
478;01:23:01;03:48:36;06:00:56;08:54:19.000;08:54:53.500;10:16;5.8;;;;;;;;;
479;01:21:24;03:52:50;06:08:38;08:54:20.650;08:54:58.600;10:16;5.8;;;;;;;;;
480;01:23:24;04:01:07;06:12:36;08:54:54.350;08:55:35.250;10:17;5.8;;;;;;;;;
481;01:24:16;04:01:06;05:58:21;08:54:54.000;08:55:35.350;10:17;5.8;;;;;;;;;
482;01:26:38;03:47:14;05:54:39;08:55:56.450;08:56:32.600;10:18;5.8;;;;;;;;;
483;01:10:41;03:30:33;06:05:19;08:57:19.250;08:57:37.600;10:19;5.8;;;;;;;;;
484;01:26:48;03:50:58;06:05:13;08:57:56.000;08:58:19.200;10:20;5.8;;;;;;;;;
485;01:27:54;03:57:09;06:04:53;08:58:18.250;08:58:48.600;10:21;5.8;;;;;;;;;
486;01:32:50;04:02:34;06:00:41;08:58:38.200;08:58:58.300;10:21;5.8;;;;;;;;;
487;01:23:52;03:52:20;06:00:41;08:59:18.200;08:59:54.800;10:22;5.8;;;;;;;;;
488;01:24:23;03:54:53;06:04:39;08:59:53.550;09:00:27.050;10:22;5.8;;;;;;;;;
489;01:24:30;03:54:52;06:04:31;08:59:53.600;09:00:27.750;10:22;5.8;;;;;;;;;
490;01:20:31;03:50:42;06:05:09;09:00:50.400;09:01:03.800;10:24;5.8;;;;;;;;;
491;01:24:38;03:52:50;06:05:42;09:01:41.600;09:02:03.400;10:25;5.8;;;;;;;;;
492;01:24:38;03:52:48;06:06:20;09:01:42.200;09:02:03.700;10:25;5.8;;;;;;;;;
493;01:30:10;04:05:57;06:12:48;09:01:36.000;09:02:08.850;10:24;5.8;;;;;;;;;
494;01:16:57;03:53:43;06:06:19;09:03:17.500;09:03:31.750;10:26;5.7;;;;;;;;;
495;01:23:49;03:55:59;06:05:24;09:04:58.450;09:05:34.500;10:28;5.7;;;;;;;;;
496;01:23:48;03:55:59;06:05:25;09:04:58.050;09:05:34.500;10:28;5.7;;;;;;;;;
497;01:20:08;03:44:24;06:04:32;09:04:58.600;09:05:41.000;10:28;5.7;;;;;;;;;
498;01:20:32;03:50:43;06:05:07;09:08:31.150;09:08:44.550;10:32;5.7;;;;;;;;;
499;01:24:13;04:02:21;06:05:44;09:11:20.050;09:11:49.950;10:36;5.7;;;;;;;;;
500;01:23:57;04:02:17;06:09:56;09:12:04.200;09:12:15.000;10:37;5.7;;;;;;;;;
501;01:24:37;03:53:27;06:09:57;09:15:13.550;09:15:38.750;10:40;5.6;;;;;;;;;
502;01:23:50;04:02:19;06:10:20;09:21:05.700;09:21:37.500;10:47;5.6;;;;;;;;;
503;01:19:41;03:54:30;06:10:52;09:22:42.250;09:23:22.000;10:49;5.5;;;;;;;;;
504;01:19:42;03:54:31;06:10:49;09:22:42.650;09:23:22.300;10:49;5.5;;;;;;;;;
505;01:27:54;03:57:16;06:09:47;09:26:18.500;09:26:48.850;10:53;5.5;;;;;;;;;
506;01:25:05;03:46:15;06:12:35;09:31:07.900;09:31:51.900;10:58;5.5;;;;;;;;;
507;01:23:03;03:57:12;06:13:12;10:07:48.250;10:08:31.700;11:41;5.1;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
