Id;5km;10km;15km;19.9km;Cz. netto;min/km;km/h;;;;;;;;
70;00:20:11;00:40:55;01:02:18;01:25:12;01:31:21.300;04:19;13.9;;;;;;;;
72;00:21:22;00:42:43;01:04:09;01:26:02;01:31:45.900;04:20;13.8;;;;;;;;
73;00:20:54;00:42:03;01:03:21;01:25:51;01:31:45.450;04:20;13.8;;;;;;;;
74;00:21:09;00:42:11;01:03:31;01:25:57;01:31:50.250;04:21;13.8;;;;;;;;
75;00:21:11;00:42:13;01:03:35;01:26:07;01:31:52.350;04:21;13.8;;;;;;;;
76;00:20:55;00:42:08;01:03:13;01:25:58;01:32:07.850;04:21;13.7;;;;;;;;
77;00:20:32;00:41:24;01:02:42;01:25:58;01:32:05.100;04:21;13.7;;;;;;;;
78;00:20:45;00:42:03;01:03:30;01:26:11;01:32:10.550;04:22;13.7;;;;;;;;
79;00:20:52;00:42:06;01:02:59;01:25:37;01:32:20.750;04:22;13.7;;;;;;;;
80;00:21:38;00:43:25;01:04:56;01:26:31;01:32:16.600;04:22;13.7;;;;;;;;
81;00:20:54;00:42:15;01:04:05;01:26:36;01:32:27.800;04:22;13.7;;;;;;;;
82;00:20:24;00:42:07;01:03:57;01:26:46;01:32:32.700;04:23;13.7;;;;;;;;
83;00:21:03;00:42:03;01:03:11;01:25:52;01:32:29.050;04:22;13.7;;;;;;;;
84;00:19:31;00:40:46;01:02:47;01:26:09;01:32:48.500;04:23;13.6;;;;;;;;
85;00:21:54;00:43:49;01:05:05;01:26:48;01:32:40.400;04:23;13.7;;;;;;;;
86;00:20:37;00:42:15;01:03:58;01:26:35;01:32:46.100;04:23;13.6;;;;;;;;
87;00:19:42;00:40:57;01:02:55;01:26:23;01:32:54.350;04:24;13.6;;;;;;;;
88;00:21:21;00:42:32;01:04:00;01:26:48;01:32:57.800;04:24;13.6;;;;;;;;
89;00:21:16;00:42:31;01:04:04;01:27:02;01:33:04.700;04:24;13.6;;;;;;;;
90;00:20:11;00:41:43;01:04:41;01:27:18;01:33:11.100;04:25;13.6;;;;;;;;
91;00:21:07;00:42:49;01:04:17;01:26:55;01:32:59.550;04:24;13.6;;;;;;;;
92;00:21:22;00:42:53;01:04:17;01:26:59;01:33:13.850;04:25;13.6;;;;;;;;
93;00:21:41;00:43:33;01:05:08;01:27:23;01:33:20.050;04:25;13.6;;;;;;;;
94;00:20:22;00:42:35;01:05:12;01:27:53;01:33:32.900;04:25;13.5;;;;;;;;
95;00:19:33;00:40:06;01:01:43;01:26:23;01:33:37.550;04:26;13.5;;;;;;;;
96;00:20:54;00:42:40;01:04:15;01:27:04;01:33:00.000;04:24;13.6;;;;;;;;
97;00:21:21;00:42:40;01:04:10;01:26:50;01:33:11.050;04:24;13.6;;;;;;;;
98;00:21:11;00:42:26;01:05:06;01:27:43;01:33:47.150;04:26;13.5;;;;;;;;
99;00:21:21;00:43:12;01:04:48;01:27:13;01:32:58.200;04:24;13.6;;;;;;;;
100;00:21:35;00:43:46;01:05:43;01:28:05;01:34:15.250;04:28;13.4;;;;;;;;
101;00:21:07;00:42:52;01:04:23;01:27:51;01:34:18.050;04:28;13.4;;;;;;;;
102;00:21:14;00:42:59;01:04:58;01:28:06;01:34:12.000;04:27;13.4;;;;;;;;
103;00:22:11;00:44:02;01:05:51;01:28:14;01:34:09.750;04:27;13.4;;;;;;;;
