Id;9km;16km;37km;Cz. brutto;min/km;km/h;;;;;;;;
62;01:54:22;03:29:45;08:12:29;08:58:38.150;12:40;4.7;;;;;;;;
63;01:42:10;03:17:44;08:12:32;09:00:16.500;12:42;4.7;;;;;;;;
64;01:54:26;03:35:05;08:14:34;09:04:47.050;12:48;4.7;;;;;;;;
65;01:43:09;03:17:35;08:14:10;09:17:16.150;13:06;4.6;;;;;;;;
66;01:38:50;03:10:54;08:18:31;09:20:51.350;13:11;4.5;;;;;;;;
67;01:54:25;03:35:07;08:14:33;09:34:47.000;13:31;4.4;;;;;;;;
68;01:47:35;03:38:45;08:36:40;09:35:11.700;13:31;4.4;;;;;;;;
69;01:50:12;03:34:24;08:43:03;09:41:56.050;13:41;4.4;;;;;;;;
70;01:34:01;03:02:10;07:03:24;09:42:04.000;13:41;4.4;;;;;;;;
71;01:47:03;03:31:07;08:42:57;09:42:12.350;13:41;4.4;;;;;;;;
72;01:40:20;03:14:08;07:56:30;09:44:38.000;13:45;4.4;;;;;;;;
73;01:53:27;03:46:59;08:57:20;09:50:18.100;13:53;4.3;;;;;;;;
74;01:53:59;03:46:54;08:57:15;09:50:19.650;13:53;4.3;;;;;;;;
75;01:54:15;03:35:00;08:57:25;09:55:24.600;14:00;4.3;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
